title,location,description,url
Painted Desert,United States,"In Arizona there lies a long expanse of arid, erosion-prone, austere badlands made of multicolored mudstones and clays. This “Painted Desert” extends from the Grand Canyon southeast to the Petrified Forest National Park, stretching over 260 kilometers and encompassing over 36,000 hectares. This 2009 Landsat 5 image captured the Painted Desert as it abruptly ends at the Sitgreaves National Forest, an area with thousands of hectares of forest as well as eight cold-water lakes. Also within the Painted Desert lie the Hopi Buttes, a field of ancient volcanic cones, seen here as a scattering of dark, circular shapes near the top of the image.",2018_earth_as_art-nasa/OEBPS/image/desert_to_for.jpg
Paraná River Delta,Argentina,"The Paraná River delta is a forested marshland about 32 kilometers northeast of Buenos Aires and has a vast labyrinth of marsh and trees. The delta is home to a number of rare birds and has become a popular bird-watching destination. It is also home to marsh deer, jaguars, neotropical river otters, coypu and capybara rodents, and the Pampas cat. The Paraná flows north-south and forms an alluvial basin before it empties into the Río de la Plata. This Landsat 7 image from 2000 highlights the striking contrast between dense forest, wetland marshes, and the deep blue ribbon of the Paraná River.",2018_earth_as_art-nasa/OEBPS/image/parana_delta.jpg
Phytoplankton Bloom,Baltic Sea,"In this Landsat 7 image from 2005, massive congregations of greenish phytoplankton swirl in the dark water around Gotland, a Swedish island in the Baltic Sea. Phytoplankton are microscopic marine plants that form the first link in nearly all ocean food chains. Population explosions, or blooms, of phytoplankton, like the one shown here, occur when deep currents bring nutrients up to sunlit surface waters, fueling the growth and reproduction of these tiny, photosynthesizing organisms.",2018_earth_as_art-nasa/OEBPS/image/van_gogh_from.jpg
Pinacate Volcano Field,Mexico,"The pockmarked terrain of Pinacate National Park in Mexico’s state of Sonora is evidence of a violent past. Among hundreds of volcanic vents and cinder cones are rare maar craters, formed when rising magma met underground water to create pockets of steam that blew nearly circular holes in the overlying crust. At the bottom of this 2002 Landsat 7 image are sand dunes of the Gran Desierto de Altar in the Sonoran Desert, including the only active erg dune region in North America. During the 1960s, NASA sent astronauts to the Pinacate area to train for lunar expeditions.",2018_earth_as_art-nasa/OEBPS/image/pinacate_volc.jpg
Ribbon Lakes,Russia,"The vivid blue half circle (bottom) in this Landsat 5 image from 2005 is Russia’s Chaunskaya Bay in northeastern Siberia. Two major rivers, the Chaun and Palyavaam, flow into the bay, which in turn opens into the Arctic Ocean. Ribbon lakes and bogs are present throughout the area, created by depressions left by receding glaciers. Owing to its extreme northern location, the bay is covered by ice most of the year.",2018_earth_as_art-nasa/OEBPS/image/siberian_ribb.jpg
Richat Structure ,Mauritania,"Viewed from space, the Richat Structure forms a conspicuous 50-kilometer-wide bull’s-eye on the Maur Adrar Desert in the African country of Mauritania. Described by some as looking like an outsized fossil, the feature has become a landmark for astronauts. Although it resembles an impact crater, the structure formed when a volcanic dome hardened and gradually eroded, exposing the onion-like layers of rock. In this 2001 Landsat 7 image, desert sands appear white and pale yellow at the top left and lower right corners of the scene. Less sandy, rocky areas are green, and volcanic rocks are blue.",2018_earth_as_art-nasa/OEBPS/image/richat.jpg
Rocky Mountain Trench,Canada,"The stroke of red in this 2004 Landsat 5 image is a remarkable interplay of light and cloud in the Canadian Rockies. The Rocky Mountain Trench is a valley that stretches from the U.S. state of Montana to just south of Canada’s Yukon Territory. It runs parallel with the peaks of the Canadian Rockies, ranging from 3 to 16 kilometers wide. Low clouds filled a part of the Trench near the border between the Canadian provinces of Alberta and British Columbia. The light-reflecting nature of the clouds coupled with low Sun elevation resulted in this startling effect. The Trench aligns with the Fraser River and makes its way past Mount Robson, the highest peak in the Canadian Rockies. Mount Robson is near the center of this image.",2018_earth_as_art-nasa/OEBPS/image/rocky_mountai.jpg
Rub’ al Khali,Arabian Peninsula,"The Rub’ al Khali, or Empty Quarter, is one of the largest sand deserts in the world, covering 650,000 square kilometers and encompassing most of the southern third of the Arabian Peninsula. The desert includes much of Saudi Arabia and parts of Oman, the United Arab Emirates, and Yemen. Landsat 7 collected this image in 2001. With daytime temperatures reaching 50 degrees Celsius and dunes taller than 330 meters, the desert may be one of the most forbidding places on Earth today. However, there is evidence of ancient lakes and wildlife. Fossils of cattle and hippos are abundant, as are flint weapons and tools. Additionally, space-based measurements uncovered evidence of ancient civilizations. Subsequent excavations uncovered a large, octagonal fortress and shards of Greek, Roman, and Syrian pottery.",2018_earth_as_art-nasa/OEBPS/image/Rub_al_Khali_Arabian_Empty_Quarter_sand_dunes_imaged_by_Terra_EOS_AM-1.jpg
Sand Hills,United States,"As the largest sand dune formation in America, the Sand Hills cover about a quarter of the U.S. state of Nebraska. These ancient sand dunes are from the Pleistocene Epoch (1.8 million to about 10,000 years ago). They are made of sediment eroded from the Rocky Mountains by glaciers, washed out into the plains, and now mostly stabilized by grassland vegetation. This 2001 Terra image shows a portion of the Sand Hills region, the landscape rippled by crowded yellow-tan and lavender-brown dunes. The area does not drain water well, so the hollows at the bases of dunes are filled with brilliantly blue lakes. The sandy soils were not attractive to farmers, and the area was left largely unplowed by European settlers. Today, the area is being cultivated as seen in some of the emerald green vegetation in the image. Perfect circles of vegetation resulting from center-pivot irrigation appear in the scene, as well as fields with sharp angles and straight lines. The area is an important habitat for migratory birds.",2018_earth_as_art-nasa/OEBPS/image/nebraska-sand.AST2001253_lrg.jpg
Shoemaker Crater,Australia,"Salt-encrusted seasonal lakes, seen here in yellow and green, dot the floor of Western Australia’s Shoemaker impact structure, the deeply eroded remnant of a former impact crater. The structure is named in honor of planetary geologist Eugene Shoemaker and is situated in arid central Western Australia, about 100 kilometers north-northeast of the town of Wiluna. The structure was formed about 1.7 billion years ago and is currently the oldest known impact site in Australia. Landsat 7 collected this image in 2000.",2018_earth_as_art-nasa/OEBPS/image/shoe_crater.jpg
Sierra Madre Oriental,Mexico,"Mexico’s chief mountain system consists of the Sierra Madre Oriental, the Sierra Madre Occidental, and the Sierra Madre del Sur—all named with a variation of Sierra Madre, a Spanish phrase meaning Mother Highlands. The rugged Sierra Madres extend from northwest to southeast through Mexico and have deep, steep-sided barrancas (canyons). Landsat 7 acquired this image in 1999, and it depicts a desolate area of the Sierra Madre Oriental range on the border between the Mexican states of Coahuila and Nuevo León.",2018_earth_as_art-nasa/OEBPS/image/coahuila.jpg
South Georgia Island,South Atlantic Ocean,"Located in the South Atlantic Ocean due east of Argentina’s southernmost tip, South Georgia Island is entirely covered by snow and ice in this Terra image from 2002. The island is some 170 kilometers long, with a rugged terrain and 11 mountain peaks more than 2,000 meters high. Many boundary layer cumulus clouds fill the atmosphere surrounding the island. The sinewy patterns snaking across the cloud bank (upper left corner) indicate open-cell convection. The island appears to be creating a wake of thicker marine stratocumulus clouds flowing away from its northeast shore. All around the island, phytoplankton appear to be in bloom, giving the deep-blue South Atlantic waters a lighter, more turquoise hue. Sir Ernest Shackleton stopped on South Georgia Island twice, once in 1914 and again in 1915, as part of the Imperial Trans-Antarctic Expedition he led on the ship Endurance. With no permanent human inhabitants, South Georgia Island is now a wildlife sanctuary and home to seals, reindeer, and sea and land birds.",2018_earth_as_art-nasa/OEBPS/image/SouthGeorgia.A2002220.1205.250m.jpg
Southern Sahara Desert,Africa,"What appear as soft shades of blue and blond are actually one of the harshest landscapes on Earth. This glimpse of Africa’s Sahara Desert, located near where the borders of Mali, Niger, and Algeria converge, is truly a no-man’s-land—a world of sand and rock without roads or settlements. The horizontal lines across the top half of the image are intrusions of igneous rock, where magma has emerged from deep underground. Landsat 5 acquired this image in 2009.",2018_earth_as_art-nasa/OEBPS/image/no_mans_land.jpg
Susitna Glacier,United States,"Folds in the lower reaches of valley glaciers can be caused by powerful surges of tributary ice streams. Susitna Glacier in the Alaska Range, seen in this Terra image from 2009, displays this phenomenon. Vegetation appears in shades of red and snow is white. The glacier’s surface is marbled with dirt-free blue ice and debris-coated brown ice. Infusions of relatively clean ice push in from tributaries in the north. The glacier surface appears especially complex near the center of the image, where a tributary has pushed the ice in the main glacier slightly southward. Steep cliffs and slopes exist in the glacier surface, with most of the jumble the result of surges in tributary glaciers. Glacial surges can occur when meltwater accumulates at the base of a tributary and lubricates the flow. The underlying bedrock can also contribute to glacier surges, with soft, easily deformed rock leading to more frequent surges.",2018_earth_as_art-nasa/OEBPS/image/NASA_Image_Of_The_Day-_Alaskas_Susitna_Glacier.jpg
Syrian Desert,West Asia,"Between the cultivated lands along the eastern Mediterranean Sea and the fertile Euphrates River lies the Syrian Desert, covering parts of modern Syria, Jordan, Saudi Arabia, and Iraq. This Landsat 7 scene from 2000 centers on the southern end of the Syrian Desert’s As-Safa lava fields southeast of the city of Damascus. The image captures the hottest terrain in bright red, and these areas likely correspond to dark, barren, basaltic lava. Cooler terrain is bluish green, while pockets of lush vegetation in oases and towns are bright green. Cinder cones pockmark the northern fields, while bright blue pools of water appear throughout.",2018_earth_as_art-nasa/OEBPS/image/syrian_desert.jpg
Tassili n’Ajjer,Algeria,"Meaning “Plateau of the Rivers” in Berber, Tassili n’Ajjer is a mountain range and vast plateau in southeast Algeria near the border of Libya and Niger. Part of the Sahara Desert, the area has a bone-dry climate with scant rainfall yet does not blend in with Saharan dunes. Instead, the rocky plateau rises above the surrounding sand seas, covering an area of 72,000 square kilometers. Made from multiple Landsat 7 observations from 2000, the image highlights the area’s various rock types. Sand appears in shades of yellow and tan, granite rocks appear brick red, and blue areas are likely salts.  Over billions of years, alternating wet and dry climates have shaped these rocks in multiple ways. Deep ravines are cut into cliff faces along the plateau’s northern margin. The ravines are remnants of ancient rivers that once flowed off the plateau into nearby lakes. Where those lakes once rippled, winds now sculpt the dunes of giant sand seas. In drier periods, winds eroded the sandstones of the plateau into “stone forests” and natural rock arches. Humans have also modified the park’s rocks. Some 15,000 engravings have so far been identified in Tassili n’Ajjer. From about 10,000 B.C.E. to the first few centuries C.E., successive populations also left the remains of homes and burial mounds. Rich in geologic and human history, Tassili n’Ajjer is an UNESCO Biosphere Reserve and World Heritage Site.",2018_earth_as_art-nasa/OEBPS/image/tassilinajjer_etm_2000_lrg.png
Terkezi Oasis ,Chad,"A series of rocky outcroppings emerge from a blanket of sand in this 2000 Landsat 7 image of the Sahara Desert near the Terkezi Oasis in the country of Chad. As Earth’s largest band of dry land, the Sahara dominates the northern third of Africa. Stretching across this immense desert are vast plains of sand and gravel; seas of sand dunes; and barren, rocky mountains. Only 10,000 years ago, grasses covered the region and mammals such as lions and elephants roamed the land. Now only 2 percent of the Sahara hosts oases, patches of land usually centered on natural water springs where crops will grow and people live.",2018_earth_as_art-nasa/OEBPS/image/terkezi_oasis.jpg
Three Massifs,Sahara Desert,"Three large rock massifs appear to be pushing up from beneath red sand dunes in this 2000 Terra image. The Tassili n’Ajjer massif is on the left, the Tadrart Acacus is in the middle, and the Tadrart Amsak is on the right. The image includes the southern part of the border between Algeria and Libya, and different rock types account for varying colors. The Tadrart Acacus massif contains some unique scenery and natural wonders, including colored sand dunes and isolated towers that eroded into bizarre shapes and petrified arches. The dendritic structures of ancient riverbeds are visible in the Acacus-Amsak region. This area is believed to have been wet during the last glacial era, covered by forests and populated by wild animals. Archaeologists have found indications of animal domestication and large numbers of rock paintings and engravings, faint tracks of ancient civilizations. Extremely dry weather conditions today help to preserve their masterpieces.",2018_earth_as_art-nasa/OEBPS/image/central_sahara_lrg.jpg
Tibetan Plateau,Central Asia,"Central Asia’s Tibetan Plateau is justifiably nicknamed the “Roof of the World,” with an average elevation of more than 4,500 meters. It is the world’s highest and largest plateau, covering an area roughly four times the size of France. The plateau includes the two highest mountains in the world (Mount Everest and K2) and the largest canyon in the world (Yalung Tsangpu River Great Canyon). The plateau was formed by the collision of the Eurasian continent and the India subcontinent, which still press against each other today. This 2005 Landsat 5 scene features some of the area’s deep, glacier-fed lakes—the two largest in the image are Migriggyangzham near the upper left and Dorsoidong just below it.",2018_earth_as_art-nasa/OEBPS/image/roof_of_the_w.jpg
Tikehau Atoll,French Polynesia,"A narrow ribbon of islets encircles a deep blue lagoon in French Polynesia. Tikehau Atoll is one of 78 coral atolls that make up the Tuamotu Archipelago, the largest chain of atolls in the world. Created over thousands of years by tiny, sea anemone–like coral polyps, atolls are some of the most complex and vibrant structures on the planet. In this 2009 EO-1 satellite image of the atoll, patches of coral make starlike spots across the turquoise expanse of the oval lagoon, 27 kilometers long and 19 kilometers wide. At the southernmost tip of the atoll, a large islet accommodates the village of Tuherahera and an airstrip. The whole atoll is surrounded by an almost continuous coral reef. There is a single pass on the western shore deep and wide enough for navigation in and out of the lagoon.",2018_earth_as_art-nasa/OEBPS/image/tikehau_ali_2009181_lrg.jpg
Triple Junction,East Africa,"In the Afar region of Ethiopia, a nearly barren rockscape marks the location of the meeting place of three separate pieces of Earth’s crust known to geologists as the Afar Triple Junction. Here, the spreading ridges that form the Red Sea and the Gulf of Aden emerge on land and meet the East African Rift. The central meeting place for these pieces is around Lake Abbe, just to the south of the area shown in this 2005 Terra image.  The three pieces are each pulling away from that central point, though not all at the same speed. The separation creates enormous stress on the rock, producing cracks, faults, volcanoes, fumaroles (gas vents), escarpments, and hot springs in the region along the border of Ethiopia, Eritrea, and Djibouti. One of Earth’s few lava lakes, Erta Ale, is found in this area. In the image, the gray-brown, ancient, basalt rock of the region is crisscrossed by cracks both small and large, many of which are filled with salt and sand. The tinge of red indicates some hardy vegetation eking out a living in the harsh terrain. The large riverlike feature running horizontally across the scene is a geologic feature called a graben, a gulley created not by the erosion of a river but by the sinking of the ground where earth on either side pulls apart. The Afar region is well known as one of the cradles of hominids. The region contains the Middle Awash, the site of many fossil hominid discoveries; Gona, the site of the world’s oldest stone tools; and Hadar, the site of a fossilized specimen of Australopithecus afarensis known as Lucy.",2018_earth_as_art-nasa/OEBPS/image/afar.jpg
Ugab River,Namibia,"Elusive and ecologically vital, Namibia’s Ugab River only flows above ground for a few days each year. The subterranean waters underlying this ephemeral river, however, are shallow enough in places to fill hollows and sustain a wildlife population that includes black rhinos and rare desert elephants. In this 2002 Landsat 7 image, the river passes through nearly vertical layers of thinly bedded limestone, sandstone, and siltstone. One of Namibia’s major rivers, the Ugab stretches nearly 500 kilometers from the interior to the coast of the Atlantic.",2018_earth_as_art-nasa/OEBPS/image/ugab_river.jpg
Vatnajökull Glacier Ice Cap,Iceland,"Valley glaciers reach into lower lying areas from the Vatnajökull Glacier in Iceland’s Skaftafell National Park. The largest ice cap by volume in Europe, Vatnajökull covers more than 8 percent of the island. Seven volcanoes and an ice cavern system are situated beneath the Vatnajökull ice cap. Iceland’s highest peak, Hvannadalshnúkur, is located in the southern periphery of Vatnajökull. This 1999 Landsat 7 image shows the southeast portion of the glacier.",2018_earth_as_art-nasa/OEBPS/image/vatnajokull.jpg
Volcanoes,Chile and Argentina,"On the border between Chile and the Catamarca Province of Argentina lies a vast field of currently dormant volcanoes. Over time, these volcanoes have laid down a crust of magma roughly 3.5 kilometers thick. The intense blue features in this 1999 Landsat 7 image are playa lakes and ponds and surrounding salt deposits. The deeper lakes appear darker. Shallower areas in the lakes and moist salt deposits are lighter blue. Dry, salt-encrusted sediments adjacent to the lakes and ponds appear white. Chile has 36 historically active volcanoes, more than any other South American country.",2018_earth_as_art-nasa/OEBPS/image/chile_volcan.jpg
Von Kármán Vortices,Southern Pacific Ocean ,"Swirling clouds line up in a formation known as a von Kármán street. This phenomenon is named after aerodynamicist Theodore von Kármán, who derived the theoretical conditions under which it occurs (von Kármán was one of the principal founders of NASA’s Jet Propulsion Laboratory). He described the alternating double row of vortices as “staggered like lampposts along both sides of a street.” These vortices appear when wind-driven clouds encounter an obstacle, in this instance Alexander Selkirk Island in the southern Pacific Ocean. As the clouds flow around the rugged island, whose highest point reaches nearly 1.5 kilometers above sea level, the clouds form the spinning eddies visible in this 1999 Landsat 7 image.",2018_earth_as_art-nasa/OEBPS/image/karman_vort.jpg
Wadi Branches,Jordan ,"The Terra satellite captured this image of wadis in southeastern Jordan in 2001. The Arabic word wadi means a gulley or riverbed that is usually dry except after drenching, seasonal rains. In this image, meandering wadis have combined to form dense, branching networks across the stark, arid landscape.",2018_earth_as_art-nasa/OEBPS/image/jordan.jpg
Zagros Mountains,Iran ,"The Zagros Mountains in southwestern Iran present an impressive landscape of long, linear ridges and valleys. In the lower right corner of this 2000 Landsat 7 image stands a feature of the area—a white-topped salt dome called Kuh-e-Namak, or “mountain of salt” in Farsi. Thick layers of minerals, such as halite (common table salt), typically accumulate in closed basins during alternating wet and dry climatic conditions. Over time, the layers of salt are buried under younger layers of rock. The pressure from overlying rock layers causes the lower-density salt to flow upwards, bending the rock layers above and creating a domelike structure. Near the bottom of the image, the Mand River resembles a lavender ribbon as it winds around the base of Kuh-e-Namak. The city of Konari and several other towns and small villages nestle nearby on the valley floor.",2018_earth_as_art-nasa/OEBPS/image/konari_iran.jpg
